Order ID,Date,Sales Person,Country,Region,Product,Sales Channel,Boxes Shipped,Unit Price ($),Amount ($)
ORD-10340,2022-01-08,Lucas Verma,AUSTRALIA,Oceania,  Hydrating Face Serum  ,Distributor,10,11.98,119.82
ORD-10041,2022-08-26,Ananya Gupta,NEW ZEALAND,Oceania,Vitamin C Cream,Wholesale,147,34.24,5032.73
ord10187,2022-07-21,Ethan Reddy,Canada,North America,Niacinamide Toner,Retail,225,22.06,4964.03
ORD-10478,"January 04, 2022",Olivia D'Souza,  India  ,Asia,UNDER EYE CREAM,distributor,499,30.09,15013.48
ORD-10031,04-02-2022,liam patel,AUSTRALIA,oceania,Niacinamide Toner,Retail,213,38.23,8143.6
ORD-10174,2022-06-10,Mason Kapoor,USA,NORTH AMERICA,  Hydrating Face Serum  ,DISTRIBUTOR,224,13.06,2925.47
ORD-10051,2022-05-02,olivia d'souza,USA,North America,Hydrating Face Serum,Distributor,483,44.93,21701.44
ORD-10119,2022-06-02,SOPHIA NAIR,India,Asia,BODY BUTTER CREAM,,418,36.01,15051.5
ORD-10189,2022-08-28,ISABELLA ROY,India,Asia,Salicylic Acid Cleanser,Wholesale,321,47.56,15267.53
ORD-10397,2022-07-07,Isabella Roy,USA,North America,Vitamin C Cream,Online,425,38.56,16390.03
ORD-10050,2022-08-13,noah mehta,New Zealand,Oceania,Tea Tree Moisturizer,online,373,27.33,10192.85
ORD-10236,2022-01-23,Lucas Verma,USA,north america,Vitamin C Cream,Distributor,364,19.14,6966.13
ORD-10054,2022-06-03,MASON KAPOOR,New Zealand,oceania,BODY BUTTER CREAM,DISTRIBUTOR,361,43.86,15834.45
ORD-10127,2022-08-19,mason kapoor,Canada,North America,spf 50 sunscreen,Retail,232,26.61,6174.38
ORD-10153,"May 29, 2022",Liam Patel,New Zealand,OCEANIA,hair repair oil,WHOLESALE,85,44.85,3812.45
ORD-10007,04-29-2022,Ananya Gupta,NEW ZEALAND,oceania,ROSE WATER TONER,Wholesale,19,43.84,832.92
ORD-10355,2022-06-13,Liam Patel,UK,Europe,Vitamin C Cream,  Online  ,248,19.78,4905.1
ORD-10215,2022-04-29,Noah Mehta,UK,EUROPE,  Hydrating Face Serum  ,ONLINE,11,,527.39
ORD-10472,2022-07-15,Noah Mehta,UK,EUROPE,under eye cream,Online,496,31.4,15576.0
ORD-10200,2022-07-07,mason kapoor,  UK  ,Europe,ANTI-AGING SERUM,,249,35.29,8787.8
ORD-10391,2022-08-23,sophia nair,new zealand,OCEANIA,Under Eye Cream,  Online  ,422,23.73,10014.34
ORD-10492,2022-02-03,ANANYA GUPTA,australia,Oceania,Hydrating Face Serum,  Distributor  ,499,22.68,11318.86
ORD-10308,2022-03-09,Liam Patel,USA,North America,  Body Butter Cream  ,WHOLESALE,342,24.81,8483.48
ORD-10430,2022-01-25,Sophia Nair,CANADA,NORTH AMERICA,Anti-Aging Serum,Online,69,22.03,1519.93
ORD-10449,2022-08-17,Noah Mehta,Canada,north america,Hair Repair Oil,Retail,45,14.09,633.85
ORD-10371,2022-05-07,Ananya Gupta,New Zealand,Oceania,Hydrating Face Serum,Retail,420,29.91,12563.44
ORD-10238,2022-08-24,  Isabella Roy  ,Canada,North America,Vitamin C Cream,  Wholesale  ,73,37.48,2735.77
ORD-10247,2022-06-16,ISABELLA ROY,New Zealand,Oceania,Hydrating Face Serum,ONLINE,306,34.14,10445.39
ORD-10218,2022-01-08,Ethan Reddy,UK,Europe,spf 50 sunscreen,Retail,175,24.68,4318.42
ORD-10047,2022-05-07,ethan reddy,canada,North America,charcoal face wash,Distributor,324,35.8,11599.9
ORD-10264,2022-05-18,Ethan Reddy,Australia,Oceania,  Hydrating Face Serum  ,online,257,46.66,
ORD-10087,2022-08-26,Isabella Roy,Australia,Oceania,SPF 50 Sunscreen,Online,73,12.21,891.11
ORD-10072,2022-01-13,Noah Mehta,  USA  ,north america,aloe vera gel,  Wholesale  ,456,35.71,16283.5
ORD-10456,2022-05-07,Mason Kapoor,  New Zealand  ,oceania,BODY BUTTER CREAM,distributor,202,13.53,2733.05
ORD-10195,2022-02-21,NOAH MEHTA,New Zealand,Oceania,Salicylic Acid Cleanser,  Retail  ,363,24.57,8919.5
ORD-10443,19/06/2022,Olivia D'Souza,Australia,OCEANIA,Hydrating Face Serum,WHOLESALE,455,29.18,"$13,278.82"
ORD-10114,2022-05-19,Isabella Roy,Canada,North America,Hair Repair Oil,  Retail  ,150,37.04,5555.52
ORD-10008,2022-07-15,,NEW ZEALAND,Oceania,,Retail,36,27.72,997.96
ORD-10126,2022-01-30,,New Zealand,oceania,FACE SHEET MASKS,Retail,487,47.54,23152.04
ORD-10213,,Ananya Gupta,  India  ,Asia,Tea Tree Moisturizer,distributor,269,14.21,3823.54
ORD-10137,2022-08-13,  Lucas Verma  ,Australia,Oceania,SPF 50 Sunscreen,Wholesale,73,11.76,858.68
ORD-10267,2022-05-31,Sophia Nair,New Zealand,OCEANIA,Hair Repair Oil,Retail,118,24.45,2884.52
ORD-10178,2022-06-01,Ananya Gupta,UK,Europe,Hydrating Face Serum,Distributor,265,24.09,6384.11
ORD-10474,2022-03-17,Isabella Roy,UK,europe,niacinamide toner,retail,499,33.59,16762.21
ORD-10288,2022-06-23,isabella roy,USA,north america,Charcoal Face Wash,Retail,11,12.37,
